No.,Time,Source,Destination,Protocol,Length,Signal strength (dBm),Noise level (dBm),Signal/noise ratio (dB),Channel,Frequency,Info,Loation,Time_of_day,Day,Sequence Number,Retransmission Flag,Retransmission Count,absolute time,Latency
207,2024-10-26 19:09:05.158,d9:a4:ba:fa:33:7b,DragonWave_4c:8b:82,802.11,1526,-80 dBm,-72 dBm,-8 dB,1,2412MHz,"QoS Data + CF-Acknowledgment, SN=542, FN=8, Flags=.pmP.MF.C",Library,19,Saturday,542.0,0,0.0,2024-10-26 19:09:05.158,0.001
208,2024-10-26 19:09:05.176,HewlettPacka_5d:39:50,Broadcast,802.11,370,-70 dBm,-72 dBm,2 dB,1,2412MHz,"Beacon frame, SN=2851, FN=0, Flags=........C, BI=100, SSID=""UNSW-IoT""",Library,19,Saturday,2851.0,0,0.0,2024-10-26 19:09:05.176,0.018
209,2024-10-26 19:09:05.176,HewlettPacka_5d:39:55,Broadcast,802.11,379,-70 dBm,-72 dBm,2 dB,1,2412MHz,"Beacon frame, SN=2852, FN=0, Flags=........C, BI=100, SSID=""eduroam""",Library,19,Saturday,2852.0,0,0.0,2024-10-26 19:09:05.176,0.0
210,2024-10-26 19:09:05.177,HewlettPacka_5d:39:53,Broadcast,802.11,362,-70 dBm,-72 dBm,2 dB,1,2412MHz,"Beacon frame, SN=2855, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)",Library,19,Saturday,2855.0,0,0.0,2024-10-26 19:09:05.177,0.001
211,2024-10-26 19:09:05.177,HewlettPacka_5d:39:51,Broadcast,802.11,369,-71 dBm,-72 dBm,1 dB,1,2412MHz,"Beacon frame, SN=2856, FN=0, Flags=........C, BI=100, SSID=""uniwide""",Library,19,Saturday,2856.0,0,0.0,2024-10-26 19:09:05.177,0.0
215,2024-10-26 19:09:05.214,HewlettPacka_7b:e0:35,Broadcast,802.11,378,-78 dBm,-72 dBm,-6 dB,1,2412MHz,"Beacon frame, SN=294, FN=0, Flags=........C, BI=100, SSID=""eduroam""[Malformed Packet]",Library,19,Saturday,294.0,0,0.0,2024-10-26 19:09:05.214,0.037
216,2024-10-26 19:09:05.215,HewlettPacka_5c:e0:30,Broadcast,802.11,352,-78 dBm,-72 dBm,-6 dB,1,2412MHz,"Beacon frame, SN=3282, FN=14, Flags=........C, BI=3569, SSID=6b090082a47b1f1937e007925f7d3097f48ce88fb49b42c7e575fb46c63ded2b4c00ff1a2305c1941c1321027eeeee6b264bc9ea12a4630573d9497fbf72a7c2",Library,19,Saturday,3282.0,0,0.0,2024-10-26 19:09:05.215,0.001
218,2024-10-26 19:09:05.215,HewlettPacka_7b:e0:31,Broadcast,802.11,368,-78 dBm,-72 dBm,-6 dB,1,2412MHz,"Beacon frame, SN=298, FN=0, Flags=........C, BI=100, SSID=756e8f4f3b558a",Library,19,Saturday,298.0,0,0.0,2024-10-26 19:09:05.215,0.0
224,2024-10-26 19:09:05.410,d2:f0:48:a5:00:7a,Broadcast,802.11,154,-73 dBm,-72 dBm,-1 dB,2,2417MHz,"Probe Request, SN=3481, FN=0, Flags=........C, SSID=""uniwide""",Library,19,Saturday,3481.0,0,0.0,2024-10-26 19:09:05.410,0.195
233,2024-10-26 19:09:05.681,82:39:ef:95:7d:af,3b:e3:ee:2e:dd:af,802.11,2012,-80 dBm,-80 dBm,0 dB,3,2422MHz,"Association Response, SN=912, FN=4, Flags=op.PR...C",Library,19,Saturday,912.0,0,0.0,2024-10-26 19:09:05.681,0.271
